
Language,Percentage
JavaScript,63.61
HTML/CSS,52.97
Python,49.28
SQL,48.66
TypeScript,38.87
Bash/Shell (all shells),32.37
Java,30.55
C#,27.62
C++,22.42
C,19.34
PHP,18.58
PowerShell,13.59
Go,13.24
Rust,13.05
Kotlin,9.06
Ruby,6.23
Lua,6.09
Dart,6.02
Assembly,5.43
Swift,4.65
R,4.23
Visual Basic (.Net),4.07
MATLAB,3.81
VBA,3.55
Groovy,3.40
Delphi,3.23
Scala,2.77
Perl,2.46
Elixir,2.32
Objective-C,2.31
Haskell,2.09
GDScript,1.71
Lisp,1.53
Solidity,1.33
Clojure,1.26
Julia,1.15
Erlang,0.99
F#,0.97
Fortran,0.95
Prolog,0.89
Zig,0.83
Ada,0.77
OCaml,0.70
Apex,0.66
Cobol,0.66
SAS,0.49
Crystal,0.44
Nim,0.38
APL,0.26
Flow,0.24
Raku,0.18
